Strain	1h-1	1h-2	1h-3	3h-1	3h-2	3h-3
M6-101	0.9397 	1.0150 	1.0030 	0.9538 	0.9496 	0.9879 
M15-005	0.9581 	0.9409 	0.9919 	1.0063 	0.9047 	1.0197 
M15-001	0.9934 	0.9707 	0.9500 	1.0793 	0.9052 	0.9691 
M8-105	1.0083 	1.0284 	1.0098 	0.9931 	0.9900 	0.9970 
M15-008	1.0887 	1.0497 	1.0359 	0.9809 	1.0099 	1.0649 
M8-104	0.9779 	0.9856 	1.0480 	0.9570 	0.9672 	1.0811 
M8-103	0.9731 	1.0543 	1.0422 	0.9910 	1.0037 	1.0150 
M6-103	0.8554 	1.0115 	1.0187 	0.9878 	0.9928 	1.0396 
M6-102	0.9825 	1.0179 	0.9962 	0.9324 	0.9793 	1.0000 
M18-003	1.0024 	0.9713 	1.0131 	1.0413 	0.9251 	1.0300 
M9-104	1.0127 	1.0254 	1.0013 	1.0381 	0.9479 	0.9535 
M9-103	1.0416 	1.0159 	1.0120 	1.0631 	0.9589 	1.0361 
M8-107	1.0052 	1.0445 	1.0171 	1.0742 	0.9764 	1.0428 
M8-106	1.0180 	1.0214 	1.0040 	1.0097 	1.0114 	0.9527 
M18-008	0.9988 	0.9841 	0.9943 	0.9890 	0.9749 	0.9489 
M18-002	1.0145 	1.0218 	1.0031 	1.0230 	0.9705 	1.0299 
M18-001	0.9879 	1.0126 	0.9933 	0.9879 	0.9888 	1.0188 
M5-106	0.9867 	1.0012 	1.0118 	1.0085 	0.9472 	1.0473 
M17-101	0.9939 	1.0181 	0.8889 	1.0485 	0.9470 	1.1196 
M13-101	1.0288 	1.0083 	0.9859 	0.9513 	0.9640 	1.0513 
M15-101	0.9438 	0.9827 	1.0498 	0.9713 	0.9282 	1.0908 
M14-103	1.0210 	1.0421 	1.0435 	0.9851 	0.9701 	1.0956 
M14-102	1.1799 	1.0269 	1.0220 	1.1584 	0.9589 	1.1147 
M13-103	1.1089 	0.9583 	1.0288 	0.9958 	0.9353 	1.1216 
M15-108	0.9911 	1.0443 	1.0233 	1.0178 	0.9531 	1.0758 
M17-102	1.0216 	1.0159 	1.0693 	0.9784 	0.9271 	1.0919 
M16-102	0.9579 	1.0259 	1.0469 	0.9844 	0.9650 	1.0616 
M16-101	1.0052 	1.0420 	0.9240 	0.9353 	0.9204 	1.0445 
M15-102	0.7870 	0.9444 	1.0211 	0.8921 	0.9786 	0.9726 
M18-007	1.0400 	0.9962 	1.0123 	1.0375 	0.9452 	1.0648 
M18-006	1.0049 	0.9859 	1.0092 	0.9670 	0.8849 	1.0520 
M18-005	0.9829 	1.0894 	1.0138 	0.9724 	0.9041 	1.0386 
M18-004	0.9820 	1.0782 	1.0278 	0.9765 	0.9648 	1.0725 
M4-101	1.0423 	1.0187 	0.9577 	1.0310 	0.9480 	0.9772 
M5-102	0.9021 	0.9973 	1.0335 	0.9032 	0.9187 	1.0470 
LGG	1.0731 	1.1071 	1.1013 	1.1194 	1.0200 	1.1585 
