Strain	Hydrophobicity-1	Hydrophobicity-2	Hydrophobicity-3						
M15-008	0.22673031	0.181360202	0.174358974						
M15-001	0.21319797	0.236180905	0.221374046						
M17-102	0.102756892	0.122807018	0.115869018						
M15-005	0.14806867	0.158798283	0.164882227						
M14-102	0.137123746	0.139072848	0.143333333						
M18-003	0.145695364	0.171521036	0.193442623						
M13-101	0.493150685	0.460992908	0.485193622						
M6-103	0.34841629	0.36199095	0.362222222						
M9-103	0.154004107	0.145530146	0.128691983						
M14-103	0.503184713	0.491856678	0.511400651						
LGG	0.409972299	0.404432133	0.379501385						
