Strain	1h-1	1h-2	1h-3	3h-1	3h-2	3h-3
M18-003	0.923748545	1.181536074	1.050795594	0.989522701	1.024049651	0.973684211
M9-104	0.919703521	1.049128368	1.065805658	0.921556516	0.862916006	0.967404674
M9-103	1.017740982	1.239263804	1.115218731	1.033116499	1.078878177	1.078250154
M6-103	0.937457969	1.247992864	1.013495277	0.981842636	1.105263158	0.960863698
M6-102	0.906910337	1.074380165	1.033232628	0.922330097	0.976033058	1.013897281
M18-008	1.084481726	1.164939551	1.04652568	1.083882564	1.017271157	0.927492447
M18-002	0.962962963	0.975775927	1.062095731	0.93960114	0.903860712	0.940491591
M18-001	0.967436353	0.989497374	1.01145767	0.918294849	0.80420105	0.954805856
M8-107	0.944038929	1.075930144	1.035844471	0.948296837	0.933940774	0.945321993
M8-106	0.927927928	1.078125	1.007358352	0.901544402	0.913194444	0.855776306
M13-101	0.879881657	1.109787234	1.169188446	0.871597633	1.005957447	1.023383769
M5-106	0.912666281	1.081931236	1.056724028	0.928282244	0.955376737	0.928616953
M17-101	0.975492808	1.035311796	1.193639576	0.972828982	1.008264463	1.039575972
M15-102	0.928746929	1.130775255	1.071181755	1.023341523	1.038371182	0.94885971
M6-101	0.91565569	1.088662791	1.066623959	0.967648758	1.018895349	1.032671365
M8-105	0.900390625	1.198900092	0.977037037	0.885416667	1.029330889	0.917777778
M15-008	0.954275534	1.109477124	0.99807569	0.941805226	0.970588235	0.862091084
M15-005	0.972517177	1.066961001	1.089005236	1.007495315	1.082413539	1.19960733
M15-001	0.960458453	1.154734411	1.046378653	0.961031519	1.061585835	0.870393901
M8-104	0.884066587	1.032527106	0.907204611	0.929250892	0.947456214	0.876080692
M18-007	0.868270332	0.943732194	0.99930021	0.823024055	0.958689459	0.939118265
M18-006	0.880701754	0.852511125	0.93968254	0.747368421	0.858232676	0.907936508
M18-005	0.870704718	0.967081851	0.95049505	0.821782178	0.983096085	0.99339934
M18-004	0.811130847	0.895731281	0.989394885	0.791000592	0.926522043	1.03867748
M8-103	0.756575266	0.84063745	0.923076923	0.735310576	0.903585657	0.921185372
M4-101	0.847913093	0.836390315	0.968181818	0.838193253	0.918561996	1.001948052
M5-102	0.876799079	0.892274982	0.907720145	0.781232009	0.894401134	0.892641737
M15-101	0.812025686	0.827221439	0.968596059	0.76882662	0.888575458	0.962438424
M14-103	0.892877173	0.885065886	1.038718291	0.819966349	0.926793558	1.034712951
M14-102	0.848744642	0.87302726	0.833992095	0.751990202	0.856527977	0.889986825
M13-103	0.912087912	0.974702381	0.997350993	0.867485456	0.9375	0.931125828
M15-108	0.859797297	0.812650602	0.890361446	0.814752252	0.838554217	0.888554217
M17-102	0.882183908	0.837368094	1.023754345	0.818390805	0.779639975	0.933371958
M16-102	0.840091376	0.856004902	0.84352518	0.728726442	0.845588235	0.863309353
M16-101	0.908492823	0.862150921	0.915822785	0.861842105	0.961378491	0.924050633
LGG	0.896325459	0.84057971	0.991269308	0.848425197	0.985507246	1.061786434
