Strain	DPPH-1	DPPH-2	DPPH-3			
M15-008	0.261395786	0.255278981	0.232340962			
M15-001	0.207873742	0.189523326	0.195640131			
M17-102	0.201756937	0.187994125	0.187994125			
M15-005	0.238457767	0.230811761	0.229282559			
M14-102	0.258337384	0.229282559	0.259866585			
M18-003	0.229282559	0.163526905	0.174231314			
M13-101	0.232439874	0.274252488	0.227959951			
M6-103	0.202573721	0.192120567	0.217506797			
M9-103	0.189133952	0.214520182	0.214520182			
M14-103	0.351904485	0.372810792	0.366837561			
LGG	0.235399365	0.221636553	0.246103773			
