Strain	3h-1	3h-2	3h-3	6h-1	6h-2	6h-3	24h-1	24h-2	24h-3
M17-102	0.241154562	0.31880597	0.233283057	0.226070764	0.453134328	0.316239316	0.678212291	0.748656716	0.569632981
M14-103	0.107187894	0.086781609	0.192569335	0.164354771	0.113793103	0.259549974	0.587221522	0.529310345	0.571951858
M14-102	0.135196034	0.126176312	0.077352815	0.187922488	0.261925365	0.133218737	0.591257323	0.692320173	0.542758917
M9-103	0.114531138	0.152214598	0.129177719	0.172154617	0.214597629	0.185411141	0.713672155	0.678727386	0.714058355
M18-003	0.096057997	0.075809786	0.042784163	0.133212506	0.102687802	0.095785441	0.417308564	0.428669883	0.366538953
M13-101	0.104217356	0.087136929	0.075741525	0.170721817	0.15708358	0.140360169	0.555555556	0.610551274	0.513771186
M15-008	0.112834979	0.128387097	0.064478828	0.175364363	0.211612903	0.116238093	0.472496474	0.558064516	0.485160509
M6-103	0.126189284	0.08813784	0.303131991	0.201802704	0.245195494	0.370246085	0.60891337	0.669317429	0.670022371
M15-001	0.091959335	0.097465887	0.091394976	0.166358595	0.228070175	0.140566542	0.585027726	0.697368421	0.561197221
M15-005	0.087458746	0.14800759	0.040687679	0.136413641	0.373181531	0.095702006	0.45929593	0.679949399	0.458452722
LGG	0.15587918	0.1751	0.1763	0.205501618	0.2646	0.2667	0.633225458	0.6475	0.6585
