Time	M14-103	M14-103	M14-103
0	0.342	0.331	0.323
1	0.363	0.346	0.341
2	0.528	0.496	0.497
3	0.831	0.793	0.826
4	1.13	1.143	1.116
5	1.436	1.403	1.417
6	1.612	1.569	1.575
7	1.73	1.688	1.688
8	1.806	1.763	1.766
9	1.867	1.826	1.835
10	1.916	1.878	1.882
11	1.946	1.916	1.91
12	1.969	1.931	1.93
13	1.985	1.949	1.955
14	1.98	1.95	1.958
15	1.973	1.95	1.943
16	1.979	1.944	1.957
17	1.978	1.954	1.951
18	1.984	1.952	1.955
19	1.979	1.946	1.964
20	1.982	1.961	1.946
21	1.97	1.932	1.94
22	1.96	1.935	1.941
23	1.97	1.94	1.927
24	1.952	1.927	1.934
